Image Name,Blurry
D:\iNaturalist\test_3000\Bellis_perennis_86541.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_86588.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86604.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86689.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_86692.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_86765.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_86767.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86794.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86813.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86891.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_86918.jpeg,Yes
D:\iNaturalist\test_3000\Bellis_perennis_87110.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_87202.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_87596.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_87642.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_87749.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_87797.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_87931.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_88097.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_88117.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_88153.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_7.JPG,Yes
D:\iNaturalist\test_3000\Bellis_perennis_46.JPG,No
D:\iNaturalist\test_3000\Bellis_perennis_55.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_57.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_109.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_176.jpg,Yes
D:\iNaturalist\test_3000\Bellis_perennis_413.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_476.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_646.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_805.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_1038.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_1173.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_1221.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_1259.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_1269.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_1377.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_1499.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_1677.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_1727.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_1745.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_1955.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_2024.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_2226.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_2281.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_2403.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_2468.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_2555.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_2581.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_2628.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_2631.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_2650.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_2756.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_2956.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_2966.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_3237.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_3243.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_3329.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_3332.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_3405.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_3468.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_3515.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_3951.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_3956.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_4158.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_4271.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_4330.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_4424.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_4539.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_4765.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_5062.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_5350.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_5392.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_5411.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_5576.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_5681.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_5727.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_5774.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_5779.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_5859.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_5860.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_5899.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_5987.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_5996.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_6196.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_6214.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_6327.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_6609.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_6610.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_6748.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_6752.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_7005.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_7253.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_7299.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_7302.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_7698.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_7866.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_7868.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_7952.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_7978.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_7988.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_8060.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_8067.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_8176.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_8275.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_8398.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_8646.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_8749.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_8813.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_8857.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_8906.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_9099.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_9179.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_9180.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_9214.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_9278.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_9393.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_9402.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_9452.jpeg,Yes
D:\iNaturalist\test_3000\Bellis_perennis_9552.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_9586.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_9611.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_9954.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_10127.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_10150.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_10172.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_10250.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_10608.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_11276.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_11314.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_11327.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_11391.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_11503.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_11514.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_11611.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_11722.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_11757.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_11831.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_12037.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_12111.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_12122.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_12171.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_12214.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_12262.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_12471.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_12666.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_12684.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_12844.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_13071.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_13180.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_13240.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_13312.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_13550.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_13551.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_13615.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_13625.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_13682.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_13718.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_13740.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_13756.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_13770.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_13837.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_13857.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_14109.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_14207.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_14289.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_14373.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_14571.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_14613.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_14637.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_14688.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_14742.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_14782.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_14815.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_14819.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_14834.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_14847.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_14861.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_14983.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_15139.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_15213.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_15389.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_15394.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_15589.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_15709.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_15843.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_16019.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_16027.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_16126.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_16140.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_16254.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_16593.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_16700.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_16803.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_16893.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17029.jpg,Yes
D:\iNaturalist\test_3000\Bellis_perennis_17142.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17240.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17247.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17261.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_17314.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17387.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17423.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17433.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17521.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17628.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_17698.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_17740.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17751.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_17835.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_18030.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_18395.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_18454.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_18660.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_18704.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_18791.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_18813.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_18840.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_18889.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_18962.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_18964.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_18966.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_19249.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_19401.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_19433.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_19492.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_19550.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_19582.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_19648.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_19762.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_20006.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_20035.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_20138.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_20151.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_20169.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_20228.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_20340.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_20473.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_20480.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_20689.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_20692.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_20754.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_20789.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_20806.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_20921.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_20998.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21174.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21195.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21229.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21285.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_21388.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21399.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21458.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21478.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21481.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21703.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_21955.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_22022.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_22148.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_22293.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_22616.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_22638.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_22701.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_22771.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_22902.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_22936.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_22982.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_23073.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_23118.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_23133.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_23225.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_23237.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_23295.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_23453.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_23603.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_23634.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_23667.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_23934.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_24003.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_24086.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_24095.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_24125.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_24175.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_24222.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_24309.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_24332.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_24336.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_24386.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_24605.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_24634.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_24663.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_24790.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_24845.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_24903.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_25084.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_25085.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_25112.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_25124.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_25249.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_25288.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_25316.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_25357.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_25538.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_25582.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_25614.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_25681.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_25709.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_25736.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_26044.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_26074.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_26337.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_26490.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_26554.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_26666.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_26672.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_26682.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_26739.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_26795.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_26865.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_26873.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_26949.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_26991.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_27131.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_27454.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_27739.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_27756.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_27783.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_27875.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_27901.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_27912.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_27930.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_27948.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_28038.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_28104.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_28123.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_28205.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_28313.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_28325.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_28535.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_28613.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_28673.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_28714.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_28818.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_28885.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_29129.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_29375.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_29397.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_29406.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_29613.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_29694.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_29739.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_29756.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_29788.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_29801.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_29810.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_29904.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_29988.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_30012.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_30110.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_30117.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_30144.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_30155.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_30327.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_30521.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_30549.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_30646.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_30660.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_30663.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_30798.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_30898.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_30961.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_30964.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_31020.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_31047.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_31182.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_31193.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_31241.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_31257.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_31315.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_31376.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_31413.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_31452.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_31478.jpg,No
D:\iNaturalist\test_3000\Bellis_perennis_31500.jpeg,No
D:\iNaturalist\test_3000\Bellis_perennis_31613.jpg,No
